record_id,stage,reviewer,inclusion_decision,exclusion_reason,notes,date
CANON-00001,FULL_TEXT,LOC_DANG,INCLUDE,,Khung đạo đức AI quốc gia quy định nguyên tắc đạo đức và quản trị AI tại Việt Nam.,2026-08-02
CANON-00002,FULL_TEXT,LOC_DANG,EXCLUDE,EX05_WRONG_SOURCE_TYPE,"Bài báo truyền thông hoặc tin tức đại chúng, không phải nghiên cứu hay báo cáo chính thức.",2026-08-02
CANON-00003,FULL_TEXT,LOC_DANG,EXCLUDE,EX05_WRONG_SOURCE_TYPE,"Tin tức báo chí về sự kiện hội thảo, không có toàn văn báo cáo kiểm chứng được.",2026-08-02
CANON-00004,FULL_TEXT,LOC_DANG,INCLUDE,,"Luật AI quy định thể chế, quản trị và kiểm soát rủi ro hệ thống AI tại Việt Nam.",2026-08-02
CANON-00005,FULL_TEXT,LOC_DANG,INCLUDE,,Nghị định 55 năm 2025 quy định an toàn dữ liệu và vận hành hệ thống y tế số và AI tại Việt Nam.,2026-08-02
CANON-00006,FULL_TEXT,LOC_DANG,INCLUDE,,"Quy định chi tiết thi hành Luật AI về quản trị, kiểm định và tuân thủ rủi ro AI tại Việt Nam.",2026-08-02
CANON-00007,FULL_TEXT,LOC_DANG,EXCLUDE,EX05_WRONG_SOURCE_TYPE,"Bài viết phổ biến kiến thức truyền thông đại chúng, không thuộc công trình nghiên cứu.",2026-08-02
CANON-00008,FULL_TEXT,LOC_DANG,EXCLUDE,EX05_WRONG_SOURCE_TYPE,"Tin bài truyền thông sự kiện tập huấn, không chứa khung quản trị và đạo đức AI y tế.",2026-08-02
CANON-00009,FULL_TEXT,LOC_DANG,EXCLUDE,EX05_WRONG_SOURCE_TYPE,"Bài tin tức hoặc tiếp thị y tế đại chúng, không phải nghiên cứu khoa học được bình duyệt.",2026-08-02
CANON-00010,FULL_TEXT,LOC_DANG,EXCLUDE,EX05_WRONG_SOURCE_TYPE,"Bài báo truyền thông đại chúng tổng quan, không thuộc loại nguồn được chấp nhận.",2026-08-02
CANON-00011,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Nghiên cứu đa ngành ở các thị trường mới nổi chung, không có phân tích riêng cho Việt Nam.",2026-08-02
CANON-00014,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật NLP benchmark hỏi đáp luật y tế, không chứa phân tích đạo đức và quản trị.",2026-08-02
CANON-00018,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Nghiên cứu đánh giá AI Agent doanh nghiệp chung, không phân tích bối cảnh thể chế Việt Nam.",2026-08-02
CANON-00019,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật so sánh độ chính xác mô hình học máy phân loại Alzheimer, không có nội dung quản trị.",2026-08-02
CANON-00020,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Nghiên cứu quốc tế về văn hóa bác sĩ, không phân tích thể chế quản trị AI y tế Việt Nam.",2026-08-02
CANON-00028,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu học sâu chẩn đoán tổn thương da, chỉ báo cáo chỉ số kỹ thuật, không có đạo đức và quản trị.",2026-08-02
CANON-00038,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật mô hình hóa dự báo bệnh bằng học máy, không phân tích đạo đức hay quản trị.",2026-08-02
CANON-00039,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật thuần túy về mô hình học máy dự đoán bệnh, không có nội dung quản trị và đạo đức.",2026-08-02
CANON-00040,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Bài báo kỹ thuật xây dựng hệ thống NLP benchmark hỏi đáp luật y tế, không phân tích quản trị AI.",2026-08-02
CANON-00041,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật về bộ dữ liệu và đánh giá mô hình NLP, không có nội dung đạo đức và quản trị y tế.",2026-08-02
CANON-00042,FULL_TEXT,LOC_DANG,EXCLUDE,EX02_NOT_HEALTHCARE,"Nghiên cứu mô hình ngôn ngữ hỏi đáp pháp luật Việt Nam chung, không thuộc lĩnh vực y tế.",2026-08-02
CANON-00044,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu học máy dự đoán nguyên nhân đột quỵ, chỉ báo cáo hiệu năng mô hình, không có quản trị và đạo đức.",2026-08-02
CANON-00045,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu thiết kế kỹ thuật hệ thống phòng hậu phẫu, không phân tích đạo đức hay quản trị AI y tế.",2026-08-02
CANON-00048,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu chuyên sâu về triển khai AI y tế, niềm tin lâm sàng, đạo đức và thể chế quản trị AI tại Việt Nam.",2026-08-02
CANON-00052,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu lâm sàng học máy phân tầng rủi ro tự kỷ, chỉ báo cáo chỉ số chẩn đoán, không có nội dung quản trị.",2026-08-02
CANON-00057,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật mô hình học máy dự báo dịch bệnh, không có phân tích thể chế hay đạo đức AI.",2026-08-02
CANON-00059,FULL_TEXT,LOC_DANG,EXCLUDE,EX03_NO_AI,"Bài báo về đạo đức y tế công cộng và kháng kháng sinh trong nông nghiệp, không đề cập công nghệ AI.",2026-08-02
CANON-00061,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Bài tổng quan kỹ thuật về mô hình AI dự báo bệnh sốt xuất huyết, không chứa phân tích quản trị y tế.",2026-08-02
CANON-00064,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật mô hình DL và LLM tự động phân loại thoái hóa khớp gối, không có nội dung đạo đức và quản trị.",2026-08-02
CANON-00067,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu thử nghiệm lâm sàng can thiệp dinh dưỡng qua app di động, không phân tích quản trị và đạo đức AI.",2026-08-02
CANON-00068,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu chuyên sâu về triển khai Generative AI tại các bệnh viện Việt Nam, quản trị tổ chức và niềm tin lâm sàng.",2026-08-02
CANON-00071,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật tinh chỉnh mô hình ngôn ngữ lớn cho truyền thông y tế, không chứa phân tích đạo đức và quản trị.",2026-08-02
CANON-00072,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu chẩn đoán lâm sàng học máy phân loại sốt xuất huyết từ dữ liệu PPG, chỉ báo cáo độ chính xác kỹ thuật.",2026-08-02
CANON-00074,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Đánh giá kỹ thuật quốc tế về khả năng trả lời thông tin ung thư của chatbot AI, không phân tích bối cảnh Việt Nam.",2026-08-02
CANON-00077,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu chính sách so sánh độ sẵn sàng quản trị AI y tế tại ASEAN, có chương phân tích thể chế trực tiếp cho Việt Nam.",2026-08-02
CANON-00079,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu thử nghiệm lâm sàng kỹ thuật đánh giá mô hình mạng thần kinh cho bệnh nhân sốt xuất huyết, không có nội dung quản trị.",2026-08-02
CANON-00081,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu sinh học phân tử và học máy phân tích ung thư tế bào vảy miệng tại Việt Nam, chỉ báo cáo hiệu năng chẩn đoán.",2026-08-02
CANON-00083,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật phát triển hệ thống tầm soát nhiễm trùng bằng học máy, không phân tích đạo đức hay chính sách quản trị.",2026-08-02
CANON-00085,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kiểm định lâm sàng mô hình học máy phân loại cấp cứu tiền viện, chỉ báo cáo chỉ số dự báo tử vong.",2026-08-02
CANON-00086,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Bài báo lý luận tổng quan quốc tế về đạo đức và quản trị Generative AI trong dược học cổ truyền, không phân tích Việt Nam.",2026-08-02
CANON-00088,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật xây dựng mô hình học máy dự đoán phản ứng có hại của thuốc trên người Việt Nam, không có quản trị.",2026-08-02
CANON-00089,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu thử nghiệm kỹ thuật nhận diện lọ thuốc glaucom bằng học sâu, chỉ báo cáo độ chính xác nhận diện hình ảnh.",2026-08-02
CANON-00092,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu học máy dự đoán rủi ro loãng xương ở phụ nữ cao tuổi Việt Nam, chỉ báo cáo hiệu năng mô hình.",2026-08-02
CANON-00093,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Nghiên cứu phương pháp giảm định kiến mô hình học máy trên cơ sở dữ liệu mở quốc tế, không có dữ liệu hay thể chế Việt Nam.",2026-08-02
CANON-00094,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật ứng dụng mô hình nền tảng phân tích tín hiệu thiết bị đeo tầm soát bệnh tim mạch, không phân tích quản trị.",2026-08-02
CANON-00096,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật phát triển công cụ phát hiện mức độ nghiêm trọng bệnh truyền nhiễm, chỉ báo cáo chỉ số chẩn đoán.",2026-08-02
CANON-00098,FULL_TEXT,LOC_DANG,INCLUDE,,Nghiên cứu đánh giá tác động ngân sách và chính sách y tế khi triển khai AI chụp X-quang ngực tầm soát ung thư phổi tại Việt Nam.,2026-08-02
CANON-00101,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu thể chế chuyên sâu về đạo đức, niềm tin xã hội và chính sách quản trị AI tại Việt Nam.",2026-08-02
CANON-00105,FULL_TEXT,LOC_DANG,INCLUDE,,"Nghiên cứu đánh giá nhu cầu, đạo đức riêng tư và quản trị vận hành robot y tế từ xa tại các bệnh viện Việt Nam.",2026-08-02
CANON-00113,FULL_TEXT,LOC_DANG,EXCLUDE,EX03_NO_AI,"Bài tổng quan về tình hình thu thập dữ liệu đăng ký ung thư tại châu Á, không đề cập công nghệ AI hay khung đạo đức AI.",2026-08-02
CANON-00114,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Bài báo tổng kết cuộc thi thuật toán âm thanh AI tầm soát lao phổi, chỉ báo cáo kết quả hiệu năng mô hình.",2026-08-02
CANON-00118,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Bài quan điểm tổng quan về dữ liệu và phán đoán lâm sàng trong khúc xạ nhãn khoa, không có phân tích y tế Việt Nam.",2026-08-02
CANON-00122,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản tiền ấn phẩm (preprint) trùng lặp với CANON-00093, không đóng góp thêm dữ liệu mới.",2026-08-02
CANON-00123,FULL_TEXT,LOC_DANG,EXCLUDE,EX07_DUPLICATE_NO_NEW_DATA,"Bản tiền ấn phẩm trùng lặp với CANON-00114 về cuộc thi thuật toán tầm soát lao phổi, không đóng góp dữ liệu mới.",2026-08-02
CANON-00124,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu học máy dự đoán ngưng tuần hoàn ngoài bệnh viện, chỉ báo cáo độ chính xác mô hình, không có quản trị y tế.",2026-08-02
CANON-00125,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Đề cương nghiên cứu kỹ thuật xây dựng công cụ AI dự báo triệu chứng tâm thần, không phân tích thể chế quản trị.",2026-08-02
CANON-00134,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Nghiên cứu mô hình tài chính đánh giá rủi ro cho ngành bảo hiểm y tế thương mại, không có bối cảnh y tế Việt Nam.",2026-08-02
CANON-00139,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu quản trị dịch vụ thương mại đánh giá ý định chi trả cho dịch vụ AI y tế, không thuộc khung đạo đức công lập.",2026-08-02
CANON-00145,FULL_TEXT,LOC_DANG,EXCLUDE,EX01_NOT_VIETNAM,"Bài tổng quan kỹ thuật quốc tế về AI trong chẩn đoán ống nghiệm, không có phân tích thể chế hay áp dụng cho Việt Nam.",2026-08-02
CANON-00146,FULL_TEXT,LOC_DANG,EXCLUDE,EX04_NO_ETHICS_GOVERNANCE,"Nghiên cứu kỹ thuật phát triển mô hình học máy phát hiện mức độ suy dinh dưỡng, chỉ báo cáo độ chính xác thuật toán.",2026-08-02
