record_id,channel,pmid,doi,openalex_id,title,year,authors,dedup_status,screening_status_round_1,screening_recommendation,screening_reason,human_approval
REC_DIR_0001,Direct_Harvest,,https://doi.org/10.2196/32392,,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review,2022,"['Duc Minh Tran', 'Louise Thwaites', 'Jennifer Ilo Van Nuil', 'Jacob McKnight', 'An Phuoc Luu', 'Chris Paton']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Trực tiếp nghiên cứu chính sách y tế số và chương trình triển khai tại các bệnh viện Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0002,Direct_Harvest,,https://doi.org/10.3390/jcm8020168,,Artificial Intelligence vs. Natural Stupidity: Evaluating AI Readiness for the Vietnamese Medical Information System,2019,"['Quan‐Hoang Vuong', 'Tung Manh Ho', 'Thu‐Trang Vuong', 'Viet‐Phuong La', 'Manh‐Toan Ho', 'Kien-Cuong P. Nghiem', 'Bach Xuan Tran', 'Hai-Ha Giang', 'Thu-Vu Giang', 'Carl A. Latkin', 'Hong‐Kong T. Nguyen', 'Cyrus S. H. Ho', 'Roger Ho']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,"Đánh giá độ sẵn sàng cho AI trong hệ thống thông tin y tế Việt Nam, liên quan trực tiếp đến thể chế và hạ tầng.",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0003,Direct_Harvest,,https://doi.org/10.1016/j.cmpb.2025.108655,,Fine-tuning large language models for improved health communication in low-resource languages,2025,"['Nhat Bui', 'Giang T. Nguyen', 'Nguyen Nguyen', 'Vo Nguyen Quoc Bao', 'Luan Nguyen Quang Vo', 'Tom Huynh', 'Arthur Tang', 'Van Nhiem Tran', 'Tuyen Huynh', 'Huy Q. Nguyen', 'Minh Dinh']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,"Tinh chỉnh LLM cho giao tiếp y tế ngôn ngữ nguồn lực thấp (tiếng Việt), chạm đến an toàn và văn hóa tiếp cận.",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0004,Direct_Harvest,,https://doi.org/10.2471/blt.22.289423,,"Applying artificial intelligence and digital health technologies, Viet Nam",2023,"['Ho Quang Chanh', 'Damien Ming', 'Quang Huy Nguyen', 'Duc Minh Tran', 'An Phuoc Luu', 'Huynh Trung Trieu', 'Stefan Karolcik', 'Bernard Hernandez Perez', 'Jennifer Ilo Van Nuil', 'Ngan Nguyen Lyle', 'Evelyne Kestelyn', 'Louise Thwaites', 'Pantelis Georgiou', 'Chris Paton', 'Alison Holmes', 'Nguyễn Văn Vĩnh Châu', 'Sophie Yacoub']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Tổng quan ứng dụng AI và công nghệ y tế số trực tiếp tại Việt Nam công bố trên Tạp chí WHO.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0005,Direct_Harvest,,https://doi.org/10.1038/s41598-024-64210-5,,Mitigating machine learning bias between high income and low–middle income countries for enhanced model fairness and generalizability,2024,"['Jenny Yang', 'Lei Clifton', 'Nguyen Thanh Dung', 'Nguyễn Thanh Phong', 'Lam Minh Yen', 'Doan Bui Xuan Thy', 'Andrew A. S. Soltan', 'Louise Thwaites', 'David A. Clifton']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Trực tiếp nghiên cứu giảm thiểu thiên vị (bias) và tăng tính công bằng (fairness) của thuật toán ML cho Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0006,Direct_Harvest,,https://doi.org/10.1371/journal.pdig.0000005,,Applied machine learning for the risk-stratification and clinical decision support of hospitalised patients with dengue in Vietnam,2022,"['Damien Ming', 'Bernard Hernandez', 'Sorawat Sangkaew', 'Nguyen Lam Vuong', 'Phung Khanh Lam', 'Nguyet Minh Nguyen', 'Dong Thi Hoai Tam', 'Dinh The Trung', 'Nguyen Le Bao Tien', 'Tuan M. Nguyen', 'Nguyễn Văn Vĩnh Châu', 'Cao Thi Tam', 'Ho Quang Chanh', 'Huynh Trung Trieu', 'Cameron P. Simmons', 'Bridget Wills', 'Pantelis Georgiou', 'Alison Holmes', 'Sophie Yacoub']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Ứng dụng ML hỗ trợ ra quyết định lâm sàng (CDS) cho bệnh nhân sốt xuất huyết tại bệnh viện Việt Nam.,APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0007,Direct_Harvest,,https://doi.org/10.1016/j.envint.2023.107848,,"Multi-output machine learning model for regional air pollution forecasting in Ho Chi Minh City, Vietnam",2023,"['Rajnish Rakholia', 'Quan Le', 'Bang Quoc Ho', 'Hoang Ngoc Khue Vu', 'Ricardo Simón Carbajo']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Áp dụng ML dự báo ô nhiễm không khí môi trường TP.HCM, không thuộc bối cảnh y tế lâm sàng).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0008,Direct_Harvest,,https://doi.org/10.3390/info15070381,,Applied Hedge Algebra Approach with Multilingual Large Language Models to Extract Hidden Rules in Datasets for Improvement of Generative AI Applications,2024,"['Hai Van Pham', 'Philip Moore']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Nghiên cứu đại số đại lượng và LLM chung, không đề cập đến bối cảnh y tế hay quản trị y tế).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0009,Direct_Harvest,,https://doi.org/10.1111/risa.14018,,Flood risk mapping and analysis using an integrated framework of machine learning models and analytic hierarchy process,2022,"['Quynh Duy Bui', 'Chinh Luu', 'Sy Hung', 'Hang Thi Ha', 'Huong Thu Ta', 'Binh Thai Pham']",UNIQUE,EXCLUDED_ROUND_1,EXCLUDE_ROUND_1,"EX02_NOT_HEALTHCARE (Bản đồ rủi ro ngập lụt thiên tai, không thuộc bối cảnh y tế bệnh nhân).",APPROVED_BY_DAO_TRUNG_THANH
REC_DIR_0010,Direct_Harvest,,https://doi.org/10.1136/bmjinnov-2021-000707,,Vital sign monitoring using wearable devices in a Vietnamese intensive care unit,2021,"['Hoang Minh Tu Van', 'Nguyễn Văn Hảo', 'Phan Nguyen Quoc Khanh', 'Ho Bich Hai', 'Le Dinh Van Khoa', 'Lam Minh Yen', 'Phung Tran Huy Nhat', 'Ha Thi Hai Duong', 'Duong Bich Thuy', 'Tingting Zhu', 'Heloise Greeff', 'David A. Clifton', 'Louise Thwaites']",UNIQUE,PASSED_TO_ROUND_2,INCLUDE_ROUND_1,Giám sát sinh hiệu tự động tại khoa hồi sức tích cực (ICU) bệnh viện Việt Nam — dữ liệu lâm sàng thực tế.,APPROVED_BY_DAO_TRUNG_THANH
