raw_record_id,source_channel_as_supplied,title,doi,publication_year,deduplication_status,merged_into_record_id,deduplication_reason,query_id,source_record_id,retrieval_date,raw_artifact_locator,raw_artifact_sha256,cursor_or_page,reconciliation_status,reconciliation_note
RAW_0001,Direct_Harvest,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review,https://doi.org/10.2196/32392,2022,UNIQUE,REC_DIR_0001,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0002,Direct_Harvest,Artificial Intelligence vs. Natural Stupidity: Evaluating AI Readiness for the Vietnamese Medical Information System,https://doi.org/10.3390/jcm8020168,2019,UNIQUE,REC_DIR_0002,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0003,Direct_Harvest,Fine-tuning large language models for improved health communication in low-resource languages,https://doi.org/10.1016/j.cmpb.2025.108655,2025,UNIQUE,REC_DIR_0003,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0004,Direct_Harvest,"Applying artificial intelligence and digital health technologies, Viet Nam",https://doi.org/10.2471/blt.22.289423,2023,UNIQUE,REC_DIR_0004,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0005,Direct_Harvest,Mitigating machine learning bias between high income and low–middle income countries for enhanced model fairness and generalizability,https://doi.org/10.1038/s41598-024-64210-5,2024,UNIQUE,REC_DIR_0005,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0006,Direct_Harvest,Applied machine learning for the risk-stratification and clinical decision support of hospitalised patients with dengue in Vietnam,https://doi.org/10.1371/journal.pdig.0000005,2022,UNIQUE,REC_DIR_0006,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0007,Direct_Harvest,"Multi-output machine learning model for regional air pollution forecasting in Ho Chi Minh City, Vietnam",https://doi.org/10.1016/j.envint.2023.107848,2023,UNIQUE,REC_DIR_0007,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0008,Direct_Harvest,Applied Hedge Algebra Approach with Multilingual Large Language Models to Extract Hidden Rules in Datasets for Improvement of Generative AI Applications,https://doi.org/10.3390/info15070381,2024,UNIQUE,REC_DIR_0008,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0009,Direct_Harvest,Flood risk mapping and analysis using an integrated framework of machine learning models and analytic hierarchy process,https://doi.org/10.1111/risa.14018,2022,UNIQUE,REC_DIR_0009,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0010,Direct_Harvest,Vital sign monitoring using wearable devices in a Vietnamese intensive care unit,https://doi.org/10.1136/bmjinnov-2021-000707,2021,UNIQUE,REC_DIR_0010,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0011,Direct_Harvest,Moderating the AI Revolution: Perceived threat and generative AI implementation in Vietnamese hospitals,https://doi.org/10.1016/j.chbr.2025.100774,2025,UNIQUE,REC_DIR_0011,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0012,Direct_Harvest,Sepsis Mortality Prediction Using Wearable Monitoring in Low–Middle Income Countries,https://doi.org/10.3390/s22103866,2022,UNIQUE,REC_DIR_0012,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0013,Direct_Harvest,"Reimagining ethnopharmacology with generative AI: Towards inclusive, ethical, and data-driven traditional medicine",https://doi.org/10.1016/j.phrs.2025.108002,2025,UNIQUE,REC_DIR_0013,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0014,Direct_Harvest,"Artificial intelligence ethics in authoritarian Vietnam: governance, trust, and societal tensions",https://doi.org/10.1080/25741292.2025.2529625,2025,UNIQUE,REC_DIR_0014,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0015,Direct_Harvest,"Development of Machine Learning and Deep Learning Prediction Models for PM2.5 in Ho Chi Minh City, Vietnam",https://doi.org/10.3390/atmos15101163,2024,UNIQUE,REC_DIR_0016,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0016,Direct_Harvest,Development and Asian-wide validation of the Grade for Interpretable Field Triage (GIFT) for predicting mortality in pre-hospital patients using the Pan-Asian Trauma Outcomes Study (PATOS),https://doi.org/10.1016/j.lanwpc.2023.100733,2023,UNIQUE,REC_DIR_0017,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0017,Direct_Harvest,Towards a machine-learning assisted non-invasive classification of dengue severity using wearable PPG data: a prospective clinical study,https://doi.org/10.1016/j.ebiom.2024.105164,2024,UNIQUE,REC_DIR_0018,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0018,Direct_Harvest,Energy Poverty and Health Expenditure: Empirical Evidence from Vietnam,https://doi.org/10.3390/socsci13050253,2024,UNIQUE,REC_DIR_0019,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0019,Direct_Harvest,Securing Collaborative Medical AI by Using Differential Privacy: Domain Transfer for Classification of Chest Radiographs,https://doi.org/10.1148/ryai.230212,2023,UNIQUE,REC_DIR_0020,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0020,Direct_Harvest,Comparing Large Language Models and Traditional Machine Translation Tools for Translating Medical Consultation Summaries: Quantitative Pilot Feasibility Study,https://doi.org/10.2196/85169,2026,UNIQUE,REC_DIR_0021,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0021,Direct_Harvest,What Are the Opportunities and Challenges of Using AI in Medical Education in Vietnam?,https://doi.org/10.2196/77817,2025,UNIQUE,REC_DIR_0022,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
RAW_0022,Direct_Harvest,Accuracy of Artificial Intelligence vs Professionally Translated Discharge Instructions,https://doi.org/10.1001/jamanetworkopen.2025.32312,2025,UNIQUE,REC_DIR_0023,UNIQUE_RECORD_PASSED_TO_SCREENING,,,,,,,UNRECONCILED_PROVENANCE,"Do not use for PRISMA/corpus until query, source record, date, raw locator, checksum and cursor/page are supplied."
