record_id,title,year,source_type,reviewer,stage,decision,exclusion_reason,notes,date
W3109983083,"Flood risk assessment using hybrid artificial intelligence models integrated with multi-criteria decision analysis in Quang Nam Province, Vietnam",2020,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Chắc chắn ngoài bối cảnh y tế; screening-codebook v0.1, PCC health.",2026-07-31
W4210885547,"Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review",2022,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Có bối cảnh bệnh viện Việt Nam và đề cập AI-based decision support, nhưng mức trực tiếp về AI/governance cần toàn văn.",2026-07-31
W2911578273,"Artificial Intelligence vs. Natural Stupidity: Evaluating AI Readiness for the Vietnamese Medical Information System",2019,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"AI + y tế Việt Nam; abstract nêu hạ tầng, cam kết chính trị và tài chính, cần toàn văn xác định nội dung governance trực tiếp.",2026-07-31
W4407095344,"Generative AI chatbots for reliable cancer information: Evaluating web-search, multilingual, and reference capabilities of emerging large language models",2025,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Có tiếng Việt trong benchmark nhưng chưa rõ bối cảnh hay khả năng áp dụng trực tiếp cho y tế Việt Nam; chuyển toàn văn.",2026-07-31
W4309865374,"Predicting the risk of osteoporosis in older Vietnamese women using machine learning approaches",2022,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Abstract chỉ trình bày mô hình dự báo và hiệu năng; không thấy nguyên tắc, trách nhiệm hay kiểm soát governance.",2026-07-31
W4407393353,"Fine-tuning large language models for improved health communication in low-resource languages",2025,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Có GenAI, thông tin y tế tiếng Việt và riêng tư; cần toàn văn xác định liệu có bằng chứng governance trực tiếp.",2026-07-31
W4382919153,"Applying artificial intelligence and digital health technologies, Viet Nam",2022,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Có AI/digital health Việt Nam, bối cảnh quy định và triển khai; cần toàn văn để tách nội dung governance khỏi mô tả kỹ thuật.",2026-07-31
W4399492816,"Mitigating machine learning bias between high income and low–middle income countries for enhanced model fairness and generalizability",2024,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Có công bằng ML và một bệnh viện Việt Nam; cần toàn văn xác minh mức liên hệ trực tiếp và nội dung quản trị.",2026-07-31
W4206827170,"Applied machine learning for the risk-stratification and clinical decision support of hospitalised patients with dengue in Vietnam",2022,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"AI lâm sàng tại Việt Nam; abstract cần kiểm tra toàn văn về giám sát, trách nhiệm hoặc kiểm soát trước khi loại theo EX04.",2026-07-31
W4407008122,"Navigating ASEAN region Artificial Intelligence (AI) governance readiness in healthcare",2025,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Chủ đề governance y tế rõ, nhưng phạm vi ASEAN chưa xác nhận phần Việt Nam đủ trực tiếp; chuyển toàn văn.",2026-07-31
W4321595697,"Multi-output machine learning model for regional air pollution forecasting in Ho Chi Minh City, Vietnam",2023,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"AI cho dự báo ô nhiễm, không thuộc chăm sóc sức khỏe/hệ thống y tế theo PCC.",2026-07-31
W2956118262,"Cross-serotype interactions and disease outcome prediction of dengue infections in Vietnam",2019,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Abstract là dự báo kết quả bệnh, không thấy nội dung AI/governance trực tiếp.",2026-07-31
W4400199015,"Applied Hedge Algebra Approach with Multilingual Large Language Models to Extract Hidden Rules in Datasets for Improvement of Generative AI Applications",2024,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Không xác định bối cảnh y tế.",2026-07-31
W4295190198,"Flood risk mapping and analysis using an integrated framework of machine learning models and analytic hierarchy process",2023,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Không thuộc y tế và không có phạm vi Việt Nam trực tiếp trong title/abstract.",2026-07-31
W3209013861,"IoTs, Machine Learning (ML), AI and Digital Transformation Affects Various Industries - Principles and Cybersecurity Risks Solutions",2021,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Bài đa ngành, không có bối cảnh y tế Việt Nam xác định.",2026-07-31
W3144156482,"Vital sign monitoring using wearable devices in a Vietnamese intensive care unit",2021,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Bối cảnh ICU Việt Nam và wearable/AI liên quan; cần toàn văn để xác định AI và nội dung governance.",2026-07-31
W4280604323,"Predicting Hypertension Based on Machine Learning Methods: A Case Study in Northwest Vietnam",2022,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Mô hình dự báo ML; abstract không nêu nội dung đạo đức/quản trị.",2026-07-31
W4413123648,"Moderating the AI Revolution: Perceived threat and generative AI implementation in Vietnamese hospitals",2025,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"GenAI trong bệnh viện Việt Nam; perceived threat/implementation có thể chứa trách nhiệm hoặc kiểm soát, cần toàn văn.",2026-07-31
W4280531286,"Sepsis Mortality Prediction Using Wearable Monitoring in Low–Middle Income Countries",2022,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Y tế và wearable/ML nhưng chưa rõ Việt Nam hoặc governance; không loại sớm ở title/abstract.",2026-07-31
W4207093336,"The Impact of Cultural Dimensions of Clinicians on the Adoption of Artificial Intelligence in Healthcare.",2022,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"AI y tế và adoption, nhưng title/metadata không xác nhận Việt Nam; cần toàn văn.",2026-07-31
W4415341843,"Reimagining ethnopharmacology with generative AI: Towards inclusive, ethical, and data-driven traditional medicine",2025,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Có GenAI/ethics/y tế nhưng chưa rõ liên hệ Việt Nam; chuyển toàn văn theo nguyên tắc không loại khi chưa đủ căn cứ.",2026-07-31
W4402676003,"Factors associated with 90-day mortality in Vietnamese stroke patients: Prospective findings compared with explainable machine learning, multicenter study",2024,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"ML giải thích được trong bệnh nhân Việt Nam; cần toàn văn để phân biệt diễn giải kỹ thuật với nội dung governance.",2026-07-31
W3174173373,"Internet of Things (IoT), Artificial Intelligence (AI) Applications for Various Sectors in Emerging Markets - and Risk Management Information System (RMIS) Issues",2021,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Không có bối cảnh y tế Việt Nam trực tiếp.",2026-07-31
W4412373819,"Artificial intelligence ethics in authoritarian Vietnam: governance, trust, and societal tensions",2025,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,EXCLUDE,,"Đạo đức/governance AI ở Việt Nam nhưng không có bối cảnh y tế; PCC health không đạt.",2026-07-31
W4391515285,"Mitigating Machine Learning Bias Between High Income and Low-Middle Income Countries for Enhanced Model Fairness and Generalizability",2024,ACADEMIC_STUDY,LOC_DANG,TITLE_ABSTRACT,UNCERTAIN,,"Bản preprint cùng chủ đề công bằng ML và liên hệ bệnh viện Việt Nam; cần kiểm tra quan hệ phiên bản với W4399492816 khi toàn văn.",2026-07-31
