record_id,source_type,title,inclusion_decision,confidence_level,analysis_rationale
CANON-00001,LEGAL_REGULATION,Ban hành Khung đạo đức trí tuệ nhân tạo quốc gia,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00002,OFFICIAL_REPORT,Bác sĩ AI và bài toán nhân lực y tế: Hợp tác giữa công nghệ và ...,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00003,OFFICIAL_REPORT,"Hội thảo ứng dụng trí tuệ nhân tạo trong khám, chữa bệnh và ...",INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00004,LEGAL_REGULATION,Luật Trí tuệ nhân tạo,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00005,LEGAL_REGULATION,Nghị định 55/2025/NĐ-CP quy định chi tiết về quản lý và vận hành hệ thống thông tin y tế số,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00006,LEGAL_REGULATION,Quy định chi tiết một số điều và biện pháp thi hành Luật Trí tuệ nhân tạo,INCLUDE,High,"Văn bản quy phạm pháp luật hoặc nghiên cứu trực tiếp quy định/phân tích thể chế, khung pháp lý, đạo đức và chính sách triển khai AI y tế tại Việt Nam."
CANON-00007,OFFICIAL_REPORT,Tìm hiểu ứng dụng trí tuệ nhân tạo trong y tế,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00008,OFFICIAL_REPORT,Tập huấn Ứng dụng trí tuệ nhân tạo trong công tác dân số,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00009,OFFICIAL_REPORT,Ứng dụng của trí tuệ nhân tạo AI trong chẩn đoán ung thư ...,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
CANON-00010,OFFICIAL_REPORT,Ứng dụng trí tuệ nhân tạo góp phần nâng cao hiệu quả ...,UNCERTAIN,Medium,"Ứng dụng AI/ML/LLM trong chẩn đoán, điều trị hoặc quản lý y tế có khả năng áp dụng tại Việt Nam; cần rà soát toàn văn để kiểm tra quy trình giám sát an toàn và đạo đức."
