slot_id,slot_class,status,rationale,acquired_url,raw_body_sha256,terminal_reached
MINISTRY-01,MINISTRY,RETRIEVED,Acquired valid AI/health document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via DQ-IMPL-01 (site:moh.gov.vn trí tuệ nhân tạo y tế),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,0F50E352E406E045F2F74C395BAB94709E75785970F644CB3F57558427723C28,YES
MINISTRY-02,MINISTRY,RETRIEVED,Acquired valid AI/health document artifact from https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/ via DQ-IMPL-05 (site:moh.gov.vn giám sát đánh giá AI y tế),https://vnpa.moh.gov.vn/tap-huan-ung-dung-tri-tue-nhan-tao-trong-cong-tac-dan-so/,2CA4028C0B360B4EAA8467FA83ED975A057CBE1722470F5372655533DCFC1714,YES
MINISTRY-03,MINISTRY,RETRIEVED,Acquired valid AI/health document artifact from https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162 via DQ-IMPL-03 (site:most.gov.vn quản trị đạo đức AI),https://tthc.most.gov.vn/index.php/ban_b/article/download/3788/1866/11162,DB7BC7BDD8EF5C7C69093540DD48A6E46E04B9C157BF28842F34453963F72F74,YES
MINISTRY-04,MINISTRY,RETRIEVED,Acquired valid AI/health document artifact from https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/ via DQ-EVID-01 (site:moh.gov.vn kết quả triển khai AI y tế),https://vnpa.moh.gov.vn/bac-si-ai-va-bai-toan-nhan-luc-y-te-hop-tac-giua-cong-nghe-va-nhan-van/,B1B817B59129777DBCE6B0D30003488DE333BBFAA8793D42F5457BE93C041EE5,YES
INTL-01,INTL,RETRIEVED,Acquired valid AI/health document artifact from https://www.who.int/vietnam/vi/about via DQ-EVID-04 (site:www.who.int/vietnam khung đạo đức AI y tế Việt Nam),https://www.who.int/vietnam/vi/about,5380FB255EDE0C079B856CEB937E6D342635ED32E2EC114EB05FF2567B908947,YES
INTL-02,INTL,UNRETRIEVABLE,All document locators returned HTTP 403 / WAF bot blocking or no document URL found after 3 retries,NONE,NONE,YES
INTL-03,INTL,OUT_OF_SCOPE,"Acquired page 'Đã đến lúc phải hành động quyết liệt hơn để làm sạch ...' from https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health is an organizational landing page, out of scope for AI/health governance.",https://www.who.int/vietnam/vi/news/commentaries/detail/time-to-take-bolder-actions-for-clean-air-and-people%E2%80%99s-health,NONE,YES
SENTINEL-01,SENTINEL,UNRETRIEVABLE,All document locators returned HTTP 403 / WAF bot blocking or no document URL found after 3 retries,NONE,NONE,YES
SENTINEL-02,SENTINEL,RETRIEVED,Acquired valid AI/health document artifact from https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122 via DQ-IMPL-01 (site:soyte.danang.gov.vn trí tuệ nhân tạo y tế),https://soyte.danang.gov.vn/vi/w/hoi-thao-ung-dung-tri-tue-nhan-tao-trong-kham-chua-benh-va-xay-dung-de-an-phat-trien-y-te-thong-minh-3271122,6B599AD0A85E0762438E818D46025E7F0739582533F0A388AF73BA1EB98ECFCA,YES
SENTINEL-03,SENTINEL,RETRIEVED,Acquired valid AI/health document artifact from https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx via DQ-IMPL-01 (site:medinet.gov.vn trí tuệ nhân tạo y tế),https://medinet.gov.vn/cai-cach-hanh-chinh-y-te-thong-minh/tim-hieu-ung-dung-tri-tue-nhan-tao-trong-y-te-so-y-te-hcm-cmobile4714-30778.aspx,AEC95192F4B8EF082391ABF270597C86A905A37FD672DA0DFB651D5BAADCCAA9,YES
SENTINEL-04,SENTINEL,RETRIEVED,Acquired valid AI/health document artifact from https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba via DQ-IMPL-01 (site:bachmai.gov.vn trí tuệ nhân tạo y tế),https://bachmai.gov.vn/bai-viet/ung-dung-tri-tue-nhan-tao-gop-phan-nang-cao-hieu-qua-chan-doan-dieu-tri-benh-ung-thu-phoi?id=b6fa9ccc-f3be-45fc-bf7e-4513d97664ba,5CCDF0673C70765A3B3AB00A978A7C6FF61B404323BCDDC5F6139C38F0B6282A,YES
SENTINEL-05,SENTINEL,RETRIEVED,Acquired valid AI/health document artifact from https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi via DQ-IMPL-01 (site:vinmec.com trí tuệ nhân tạo y tế),https://www.vinmec.com/vie/bai-viet/ung-dung-cua-tri-tue-nhan-tao-ai-trong-chan-doan-ung-thu-thuc-quan-vi,8A894CCE471460539BB43996DD2C4AD0897FD09565C4358BDC4D6E65F4F98335,YES
