document_id,record_id,framework_id,citation,year,language,source_type,issuing_body_or_authors,source_tier,legal_status,effective_date,binding_scope,transition_rule,compliance_deadline,implementation_time_at_search,component_id,scope_id,scope,ai_type,health_context,principle,actor,decision_right,control,evidence_record,patient_right,extraction_status
DOC_REC_DIR_0001,REC_DIR_0001,FRAMEWORK_VN_AI_HEALTH_2026,Digital Health Policy and Programs for Hospital Care in Vietnam: Scoping Review,2022,VI_EN,Direct_Harvest,"['Duc Minh Tran', 'Louise Thwaites', 'Jennifer Ilo Van Nuil', 'Jacob McKnight', 'An Phuoc Luu', 'Chris Paton']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0002,REC_DIR_0002,FRAMEWORK_VN_AI_HEALTH_2026,Artificial Intelligence vs. Natural Stupidity: Evaluating AI Readiness for the Vietnamese Medical Information System,2019,VI_EN,Direct_Harvest,"['Quan‐Hoang Vuong', 'Tung Manh Ho', 'Thu‐Trang Vuong', 'Viet‐Phuong La', 'Manh‐Toan Ho', 'Kien-Cuong P. Nghiem', 'Bach Xuan Tran', 'Hai-Ha Giang', 'Thu-Vu Giang', 'Carl A. Latkin', 'Hong‐Kong T. Nguyen', 'Cyrus S. H. Ho', 'Roger Ho']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0003,REC_DIR_0003,FRAMEWORK_VN_AI_HEALTH_2026,Fine-tuning large language models for improved health communication in low-resource languages,2025,VI_EN,Direct_Harvest,"['Nhat Bui', 'Giang T. Nguyen', 'Nguyen Nguyen', 'Vo Nguyen Quoc Bao', 'Luan Nguyen Quang Vo', 'Tom Huynh', 'Arthur Tang', 'Van Nhiem Tran', 'Tuyen Huynh', 'Huy Q. Nguyen', 'Minh Dinh']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0004,REC_DIR_0004,FRAMEWORK_VN_AI_HEALTH_2026,"Applying artificial intelligence and digital health technologies, Viet Nam",2023,VI_EN,Direct_Harvest,"['Ho Quang Chanh', 'Damien Ming', 'Quang Huy Nguyen', 'Duc Minh Tran', 'An Phuoc Luu', 'Huynh Trung Trieu', 'Stefan Karolcik', 'Bernard Hernandez Perez', 'Jennifer Ilo Van Nuil', 'Ngan Nguyen Lyle', 'Evelyne Kestelyn', 'Louise Thwaites', 'Pantelis Georgiou', 'Chris Paton', 'Alison Holmes', 'Nguyễn Văn Vĩnh Châu', 'Sophie Yacoub']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0005,REC_DIR_0005,FRAMEWORK_VN_AI_HEALTH_2026,Mitigating machine learning bias between high income and low–middle income countries for enhanced model fairness and generalizability,2024,VI_EN,Direct_Harvest,"['Jenny Yang', 'Lei Clifton', 'Nguyen Thanh Dung', 'Nguyễn Thanh Phong', 'Lam Minh Yen', 'Doan Bui Xuan Thy', 'Andrew A. S. Soltan', 'Louise Thwaites', 'David A. Clifton']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0006,REC_DIR_0006,FRAMEWORK_VN_AI_HEALTH_2026,Applied machine learning for the risk-stratification and clinical decision support of hospitalised patients with dengue in Vietnam,2022,VI_EN,Direct_Harvest,"['Damien Ming', 'Bernard Hernandez', 'Sorawat Sangkaew', 'Nguyen Lam Vuong', 'Phung Khanh Lam', 'Nguyet Minh Nguyen', 'Dong Thi Hoai Tam', 'Dinh The Trung', 'Nguyen Le Bao Tien', 'Tuan M. Nguyen', 'Nguyễn Văn Vĩnh Châu', 'Cao Thi Tam', 'Ho Quang Chanh', 'Huynh Trung Trieu', 'Cameron P. Simmons', 'Bridget Wills', 'Pantelis Georgiou', 'Alison Holmes', 'Sophie Yacoub']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0007,REC_DIR_0007,FRAMEWORK_VN_AI_HEALTH_2026,"Multi-output machine learning model for regional air pollution forecasting in Ho Chi Minh City, Vietnam",2023,VI_EN,Direct_Harvest,"['Rajnish Rakholia', 'Quan Le', 'Bang Quoc Ho', 'Hoang Ngoc Khue Vu', 'Ricardo Simón Carbajo']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0008,REC_DIR_0008,FRAMEWORK_VN_AI_HEALTH_2026,Applied Hedge Algebra Approach with Multilingual Large Language Models to Extract Hidden Rules in Datasets for Improvement of Generative AI Applications,2024,VI_EN,Direct_Harvest,"['Hai Van Pham', 'Philip Moore']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0009,REC_DIR_0009,FRAMEWORK_VN_AI_HEALTH_2026,Flood risk mapping and analysis using an integrated framework of machine learning models and analytic hierarchy process,2022,VI_EN,Direct_Harvest,"['Quynh Duy Bui', 'Chinh Luu', 'Sy Hung', 'Hang Thi Ha', 'Huong Thu Ta', 'Binh Thai Pham']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0010,REC_DIR_0010,FRAMEWORK_VN_AI_HEALTH_2026,Vital sign monitoring using wearable devices in a Vietnamese intensive care unit,2021,VI_EN,Direct_Harvest,"['Hoang Minh Tu Van', 'Nguyễn Văn Hảo', 'Phan Nguyen Quoc Khanh', 'Ho Bich Hai', 'Le Dinh Van Khoa', 'Lam Minh Yen', 'Phung Tran Huy Nhat', 'Ha Thi Hai Duong', 'Duong Bich Thuy', 'Tingting Zhu', 'Heloise Greeff', 'David A. Clifton', 'Louise Thwaites']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
DOC_REC_DIR_0011,REC_DIR_0011,FRAMEWORK_VN_AI_HEALTH_2026,Moderating the AI Revolution: Perceived threat and generative AI implementation in Vietnamese hospitals,2025,VI_EN,Direct_Harvest,"['Ta Thi Nguỵet Trang', 'Phạm Chiến Thắng', 'Vo Minh Tuan']",T3_PEER_REVIEWED_ACADEMIC,NOT_APPLICABLE,NOT_APPLICABLE,PROGRAM_PROJECT,NOT_APPLICABLE,NOT_APPLICABLE,5_MONTHS_AT_2026-07-31,GOVERNANCE_ETHICS_COMPONENT,SCOPE_VIETNAM_HEALTHCARE,Vietnam National Healthcare System,CLINICAL_DECISION_SUPPORT | IMAGING_AI | GENAI_LLM,HOSPITAL | PRIMARY_CARE | PUBLIC_HEALTH,AUTONOMY | SAFETY | FAIRNESS | TRANSPARENCY | ACCOUNTABILITY | PRIVACY,REGULATOR | HEALTHCARE_ORGANIZATION | CLINICIAN | DEVELOPER_VENDOR,APPROVAL | HUMAN_OVERSIGHT | INCIDENT_RESPONSE,IMPACT_ASSESSMENT | APPROVAL | VALIDATION | HUMAN_OVERSIGHT | AUDIT,DECISION_RECORD | LOG | METRIC | AUDIT_REPORT,NOTICE | CONSENT | CHOICE_REFUSAL | HUMAN_REVIEW | COMPLAINT_REMEDY,PENDING_HUMAN_EXTRACTION_VALIDATION
