"log_id","stage","run_type","channel","platform","source_name","query_id","query_original","query_translation","run_datetime_utc_plus_7","access_date","filters","sort","language_limit","date_limit","api_or_portal_url","method","selected_fields","per_page","page_or_cursor","reported_or_meta_total","records_exported","delta","raw_format","raw_path","sha256","seed_id","direction","records_viewed","new_records_after_global_dedup","decision_or_destination","stopping_rule","stable_locator","access_status","legal_status_or_version","notes"
"PM-VAL-002","PRE_REGISTRATION_SEARCH_DEVELOPMENT","DATABASE_QUERY_VALIDATION","DATABASE","PubMed","NCBI PubMed","PM-CANDIDATE-DEV-2","(""Artificial Intelligence""[mh] OR ""Machine Learning""[mh] OR ""artificial intelligence""[tiab] OR ""machine learning""[tiab] OR ""generative AI""[tiab] OR ""large language model""[tiab] OR ""large language models""[tiab] OR LLM[tiab] OR LLMs[tiab]) AND (""Ethics""[mh] OR ""Ethics, Medical""[mh] OR ""Government Regulation""[mh] OR ""Patient Rights""[mh] OR ""Informed Consent""[mh] OR ""Health Equity""[mh] OR ethic*[tiab] OR accountab*[tiab] OR responsib*[tiab] OR transparen*[tiab] OR fair*[tiab] OR bias[tiab] OR biases[tiab] OR privacy[tiab] OR oversight[tiab] OR govern*[tiab] OR policy[tiab] OR policies[tiab] OR regulat*[tiab] OR legal[tiab] OR law[tiab] OR laws[tiab] OR risk*[tiab] OR safety[tiab] OR harm*[tiab] OR ""patient rights""[tiab] OR ""human rights""[tiab] OR consent[tiab] OR autonomy[tiab] OR explainab*[tiab] OR interpretab*[tiab] OR audit*[tiab] OR monitor*[tiab] OR incident*[tiab] OR complaint*[tiab] OR redress[tiab] OR ""data protection""[tiab] OR confidential*[tiab] OR equity[tiab] OR justice[tiab] OR discriminat*[tiab] OR standard*[tiab] OR guideline*[tiab]) AND ((""Vietnam""[mh] OR Vietnam[tiab] OR ""Viet Nam""[tiab] OR Vietnamese[tiab]) AND (""Delivery of Health Care""[mh] OR ""Medicine""[mh] OR health*[tiab] OR healthcare[tiab] OR ""health care""[tiab] OR medic*[tiab] OR clinical[tiab] OR hospital*[tiab])) AND (""2019/01/01""[dp] : ""2026/07/31""[dp]) AND (english[la] OR vietnamese[la])","(""Artificial Intelligence""[MeSH Terms] OR ""Machine Learning""[MeSH Terms] OR ""Artificial Intelligence""[Title/Abstract] OR ""Machine Learning""[Title/Abstract] OR ""generative AI""[Title/Abstract] OR ""large language model""[Title/Abstract] OR ""large language models""[Title/Abstract] OR ""LLM""[Title/Abstract] OR ""LLMs""[Title/Abstract]) AND (""Ethics""[MeSH Terms] OR ""ethics, medical""[MeSH Terms] OR ""Government Regulation""[MeSH Terms] OR ""Patient Rights""[MeSH Terms] OR ""Informed Consent""[MeSH Terms] OR ""Health Equity""[MeSH Terms] OR ""ethic*""[Title/Abstract] OR ""accountab*""[Title/Abstract] OR ""responsib*""[Title/Abstract] OR ""transparen*""[Title/Abstract] OR ""fair*""[Title/Abstract] OR ""bias""[Title/Abstract] OR ""biases""[Title/Abstract] OR ""privacy""[Title/Abstract] OR ""oversight""[Title/Abstract] OR ""govern*""[Title/Abstract] OR ""policy""[Title/Abstract] OR ""policies""[Title/Abstract] OR ""regulat*""[Title/Abstract] OR ""legal""[Title/Abstract] OR ""law""[Title/Abstract] OR ""laws""[Title/Abstract] OR ""risk*""[Title/Abstract] OR ""safety""[Title/Abstract] OR ""harm*""[Title/Abstract] OR ""Patient Rights""[Title/Abstract] OR ""human rights""[Title/Abstract] OR ""consent""[Title/Abstract] OR ""autonomy""[Title/Abstract] OR ""explainab*""[Title/Abstract] OR ""interpretab*""[Title/Abstract] OR ""audit*""[Title/Abstract] OR ""monitor*""[Title/Abstract] OR ""incident*""[Title/Abstract] OR ""complaint*""[Title/Abstract] OR ""redress""[Title/Abstract] OR ""data protection""[Title/Abstract] OR ""confidential*""[Title/Abstract] OR ""equity""[Title/Abstract] OR ""justice""[Title/Abstract] OR ""discriminat*""[Title/Abstract] OR ""standard*""[Title/Abstract] OR ""guideline*""[Title/Abstract]) AND ((""Vietnam""[MeSH Terms] OR ""Vietnam""[Title/Abstract] OR ""Viet Nam""[Title/Abstract] OR ""Vietnamese""[Title/Abstract]) AND (""Delivery of Health Care""[MeSH Terms] OR ""Medicine""[MeSH Terms] OR ""health*""[Title/Abstract] OR ""healthcare""[Title/Abstract] OR ""health care""[Title/Abstract] OR ""medic*""[Title/Abstract] OR ""clinical""[Title/Abstract] OR ""hospital*""[Title/Abstract])) AND 2019/01/01:2026/07/31[Date - Publication] AND (""english""[Language] OR ""Vietnamese""[Language])","2026-07-31T08:44:25+07:00","2026-07-31","date and language embedded in query","Best match","English; Vietnamese","2019-01-01 to 2026-07-31 inclusive","https://pubmed.ncbi.nlm.nih.gov/","Official PubMed UI; all records rendered in PubMed format and saved as NBIB","PubMed/NBIB fields","200 display for validation export","all 88 results","88","88","0","NBIB","artifacts/pre-registration-search-development/pubmed-validation-export.nbib","52278E47D5B6AB1654C7A71BD6AE7DB6C3C3DFCFDB2A10B1626B3F4E19746659","VN-PM-SEEDS-6","","88","","NON_CORPUS_QUERY_VALIDATION","All results exported; no eligibility decisions","PubMed search history entry and NBIB artifact","VERIFIED","PubMed UI 2026-07-31","Expanded sensitivity query. Six direct Vietnam PMIDs recalled. Noise noted only for query development. E-utilities shared IP blocked."
"PM-SEED-002","PRE_REGISTRATION_SEARCH_DEVELOPMENT","SEED_RETRIEVAL_VALIDATION","DATABASE","PubMed","NCBI PubMed","PM-DIRECT-VN-SEEDS","PMID 35138264; 30717268; 38858466; 39430352; 37397176; 41329943","Exact PMID presence check in PM-VAL-002 NBIB","2026-07-31T08:47:00+07:00","2026-07-31","","","","","https://pubmed.ncbi.nlm.nih.gov/","Deterministic PMID check in full official-UI export","","","","","6","","","","","TRAN-2022|VUONG-2019|YANG-2024|VAN-2024|CHANH-2023|NGUYEN-2025","","6","","PASS_PRELIMINARY_QUERY_DEVELOPMENT","Stop after all six pre-specified PMIDs checked","PMIDs listed in query_original","VERIFIED","","All six recalled. Labels are preliminary relevance/noise labels, not screening or eligibility decisions."
"OA-VAL-002","PRE_REGISTRATION_SEARCH_DEVELOPMENT","DATABASE_QUERY_VALIDATION","DATABASE","OpenAlex API","OpenAlex Works","OA-CANDIDATE-DEV-2","(""artificial intelligence"" OR ""machine learning"" OR ""generative AI"" OR ""generative artificial intelligence"" OR ""large language model"" OR ""large language models"" OR LLM OR LLMs) AND (ethics OR ethical OR governance OR govern OR government OR governing OR accountability OR accountable OR responsibility OR responsible OR transparency OR transparent OR fairness OR fair OR bias OR biases OR policy OR policies OR regulation OR regulations OR regulatory OR legal OR law OR laws OR risk OR risks OR safety OR harm OR harms OR ""patient rights"" OR ""human rights"" OR consent OR autonomy OR explainability OR explainable OR interpretability OR interpretable OR audit OR auditing OR monitoring OR monitor OR incident OR incidents OR complaint OR complaints OR redress OR ""data protection"" OR confidentiality OR confidential OR equity OR justice OR discrimination OR discriminatory OR standard OR standards OR guideline OR guidelines OR oversight OR privacy) AND ((Vietnam OR ""Viet Nam"" OR Vietnamese) AND (health OR healthcare OR ""health care"" OR medicine OR medical OR clinical OR hospital OR hospitals))","Variants enumerated; stemming applies; no MeSH or wildcard. Deprecated title_and_abstract.search mapping retained for validation only.","2026-07-31T08:55:00+07:00","2026-07-31","from_publication_date:2019-01-01; to_publication_date:2026-07-31; title_and_abstract.search","","Eligibility checked later","2019-01-01 to 2026-07-31 inclusive","https://api.openalex.org/works","Percent-encoded HTTPS GET; limited first page only","id; doi; display_name; publication_year; publication_date; type; language; ids; primary_location; authorships; abstract_inverted_index","25","cursor=*; page 1; next_cursor present","347","25","322","JSON","artifacts/pre-registration-search-development/openalex-validation-page-001.json","5212FEECBC83994BA10BC95C8DEF20618F9FA8F44E87247CB5F16F4636127281","","","25","","NON_CORPUS_LIMITED_VALIDATION","Validation deliberately one page; a full run must store the complete cursor chain and per-page meta.count values, repeat until next_cursor=null AND results are empty, deduplicate by OpenAlex ID, and record count drift or other discrepancies in the run manifest/discrepancy log; no hard equality to one meta.count snapshot is required","OpenAlex endpoint plus verbatim query/filter in this row","VERIFIED_HTTP_200","OpenAlex API snapshot 2026-07-31","Official docs require a free API key and provide $1/day free use; no key is logged and no paid plan is assumed. Any migration to search= requires prospective amendment."
"OA-DER-002","PRE_REGISTRATION_SEARCH_DEVELOPMENT","DERIVED_ARTIFACT_QA","DATABASE","OpenAlex API","OpenAlex Works","OA-CANDIDATE-DEV-2","Derived from OA-VAL-002 abstract_inverted_index","Tokens sorted by integer position and joined with spaces","2026-07-31T08:57:00+07:00","2026-07-31","","","","","","Deterministic abstract reconstruction","","","","","25","","CSV RFC4180","artifacts/pre-registration-search-development/openalex-validation-derived-abstract.csv","DF1642F53366503B23DE0ECFA789EA20378A9FE63FF6A27B027DE026DBA4371B","","","25","","QA_ONLY_DERIVED_NOT_RAW","One row per raw page result","openalex_id in each row","VERIFIED","","22 of 25 abstracts non-empty. Raw JSON remains authoritative."
"LAW-SEED-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","LEGAL_SEED_VALIDATION","OFFICIAL_PORTAL","Công báo điện tử","Quốc hội/Công báo","DQ-LAW-01","134/2025/QH15","","2026-07-31T09:02:00+07:00","2026-07-31","","","","","https://congbao.chinhphu.vn/van-ban/luat-so-134-2025-qh15-468694/61695.htm","Official metadata and signed Gazette PDF","","","","","1","","PDF","artifacts/pre-registration-search-development/vn-ai-law-134-2025-qh15.pdf","181B8687613093EAF42D09AF506999A22C7B13453EDE8EF574AC48DE2E1FDD1B","VN-AI-LAW-134-2025","","1","","LEGAL_SEED_ONLY","Exact legal instrument retrieved","134/2025/QH15; Gazette issue 40","VERIFIED","Issued 2025-12-10; effective 2026-03-01","Direct health/rights/safety transition seed. No inference about implementation or impact."
"DEC-SEED-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","LEGAL_SEED_VALIDATION","OFFICIAL_PORTAL","Công báo điện tử","Chính phủ/Công báo","DQ-DEC-01","142/2026/NĐ-CP","","2026-07-31T09:03:00+07:00","2026-07-31","","","","","https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-142-2026-nd-cp-469480.htm","Official metadata and signed Gazette PDF","","","","","1","","PDF","artifacts/pre-registration-search-development/vn-ai-decree-142-2026-nd-cp.pdf","B2F71E9B86A878E4E91E0F59478B893F98A7DB853112DE66F3A7C58CBF392E18","VN-AI-DECREE-142-2026","","1","","LEGAL_SEED_ONLY","Exact legal instrument retrieved","142/2026/NĐ-CP; Gazette issue 278","VERIFIED","Issued 2026-04-30; effective 2026-05-01","Impact assessment, monitoring and incident-reporting seed. No inference about health-sector implementation or causal effects."
"MOH-STRUCT-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","PORTAL_STRUCTURE_VALIDATION","OFFICIAL_PORTAL","Công báo điện tử","Bộ Y tế/Chính phủ","MOH-ORG-01","42/2025/NĐ-CP","","2026-07-31T09:04:00+07:00","2026-07-31","","","","","https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-42-2025-nd-cp-44550/55656.htm","Official structure decree plus current unit homepage checks","","","","","1","","PDF; HTML","artifacts/pre-registration-search-development/moh-structure-nd42-2025.pdf","224724CE39E507A6EA594E6C0B24E3A207EE3312521E7D9BF3934369033B217F","","","1","","INCLUDE_MOH_HTTB_HSPI_PHAPCHE","Structure decree and current domains checked","42/2025/NĐ-CP; imda.moh.gov.vn; hspi.org.vn; vuphapche.moh.gov.vn","PARTIAL_PORTAL_ERROR","Nghị định 42 effective 2025-03-01","Nghị định 42 is the structure snapshot. Unit snapshots are logged separately for deterministic path/hash verification."
"COUNCIL-NC-001","PRE_REGISTRATION_SEARCH_DEVELOPMENT","NEGATIVE_CONTROL_VALIDATION","OFFICIAL_PORTAL","MST portal","Bộ Khoa học và Công nghệ","DQ-COUNCIL-EST-01","đề xuất thành lập hội đồng đạo đức AI độc lập","","2026-07-31T09:05:00+07:00","2026-07-31","","","","","https://mst.gov.vn/du-thao-luat-tri-tue-nhan-tao-vua-quan-ly-chat-che-vua-khuyen-khich-thuc-day-phat-trien-doi-moi-sang-tao-197251126093907884.htm","Read official news page and classify statement status","","","","","0","","","","","","","1","","POLICY_PROPOSAL_NEGATIVE_CONTROL","Single exact locator checked","MST page dated 2025-11-26","VERIFIED_LOCATOR","Proposal/background only","A participant proposed a council. This is not proof of establishment, mandate, members, meetings or operation."
"CIRC-SEED-002","PRE_REGISTRATION_SEARCH_DEVELOPMENT","LEGAL_SEED_VALIDATION","OFFICIAL_PORTAL","Công báo điện tử","Bộ Khoa học và Công nghệ/Công báo","DQ-FRAME-01","05/2026/TT-BKHCN","","2026-07-31T08:20:00+07:00","2026-07-31","","","","","https://congbao.chinhphu.vn/","Official metadata and signed Gazette PDF","","","","","1","","PDF","artifacts/pre-registration-search-development/05-2026-TT-BKHCN-signed-gazette.pdf","B7E83E1924FAFC2D94D008F20167CA9B5F8E6238EE7C274AA3BF6BD9C5CB4800","VN-AI-ETHICS-FRAME-2026","","1","","LEGAL_SEED_ONLY","Exact legal instrument retrieved","05/2026/TT-BKHCN; Gazette issue 159","VERIFIED","Issued/effective 2026-03-10","Signed Gazette is authoritative. A Government-portal attachment appeared draft-like and was not used as the signed legal text. No implementation inference."
"WHO-SEED-002","PRE_REGISTRATION_SEARCH_DEVELOPMENT","SEED_LOCATOR_VALIDATION","OFFICIAL_PORTAL","WHO","WHO IRIS/publications","WHO-ETHICS-2021","Ethics and governance of artificial intelligence for health","","2026-07-31T08:22:00+07:00","2026-07-31","","","","","https://www.who.int/publications/b/58847","Official publication locator and PDF snapshot","","","","","1","","PDF","artifacts/pre-registration-search-development/who-2021-ai-ethics-health-validation.pdf","DC5697AB8BA83B0AB42232DA6E85F1DD41EB4FAB9D112DEAEDFA97458A8CDFB1","WHO-2021","","1","","BENCHMARK_SEED_ONLY","Exact title/ISBN located","ISBN 978-92-4-002920-0","VERIFIED","WHO guidance 2021","Benchmark source; not forced into direct-Vietnam corpus query."
